,mode,epoch,index,loss,correct,predicted
0,train,0,0,12.634203910827637,Lebanese lawyers want Ghosn prosecuted over Israel trip,"['\xa0 P S C P\xa0 S\xa0\xa0J\xa0 ZS F\xa0S Z S I S\xa0 S Sandy and "" S\xa0S  SS S S Z S SS IS S\xa0   and\xa0 S S S  A  S CS SS S ZJIvS  Z Z\xa0S\xa0 S Be\xa0 Z SS \xa0 S F S C S ZS A Z SJS\xa0  SBe\xa0 S C  J \xa0\xa0\xa0 \xa0 A like SS\xa0 ""  A S\' Z Z C AS C\xa0SBe S  SJ\xa0 S likeS S, \xa0 S Z Z   S\xa0 Z likeIll  S S   like A S A S S\xa0 A\xa0BeIll S S WhipS\xa0 have S\xa0 C\xa0 Z  SIll S likeBe S SJ   \xa0S S  DrS likeS']"
1,train,0,1,11.547036170959473,"Japan raid, Turkey arrests in widening Ghosn probe",['TheTheTheATheTheTheTheAATheIAATheITheTheITheATheAAAIATheIAAAnATheAnTheTheSomeATheSTheAITheASTheTheInTheAAnTheASomeTheTheFATheFTheAFTheTheEachAAnAASomeAASurTheThe\xa0TheTheTransTheTheAllTheThe TheA ATheTransAA TheTheSAThe\xa0ATheAllATheLTheTheCAAItTheTheSurATheHTheANTheAEachThe AAPATheNTheTheItTheAPTheTheNAITheSomeAEachAA TheFA\xa0TheSomeAIAAnThe\xa0IASTheVTheTheAn']
2,train,0,2,10.759674072265625,"On the road to AI adoption, execs grapple with expertise and data",['TheTheTheTheAATheATheTheMrTheTheSeniorTheTheGTheAGTheTheLATheLTheAAAAMrGTheGFreshFTrALLIceSenior\xa0LatCookMrTheLTheIceTheFTheTheACashCr FarInWARNINGTheCookMrIIceATheIceTheAMrFATheMrTheGTheFTheTrTheTrAI\xa0TheFreshTheMrALLTheLA TheThe\xa0TheTheITheAdLawTheMrATheCrTheInTheLatTheSeniorTheAllAt']
3,train,0,3,10.826521873474121,Alcohol-free craft beer from Partake looks to fill whitespace of US market,['InAAAAInAPInAA�PA\xa0PAIn\xa0AAP\xa0A\xa0\xa0AInAPPAA\xa0ATheATheAPInAInPAPATheTheAAWAATheInAWPAIAInInAPTheA�AAIPAWInAThe\xa0APWATheAInTheAThePA�InAFAA�PPPInP�AInIn\xa0InJAAAnAAItAASAAThAAFranceAIn�AThe�TheP�A�ATheIAACAASwAA aAAJA�TheAInWA\xa0TheA\xa0InPInInTheTheTheInPIn']
4,train,0,4,10.464373588562012,Medicinal cannabis substitute can treat Parkinson's disease,['ATheAAATheTheTheATheAATheAAAnTheThe\xa0AAFAThe\xa0TheTheInTheA\xa0TheASomeAA\xa0ATheTheInA\xa0ATheSomeTheTheAnAA AASomeATheAnA\xa0\xa0The\xa0A AMoreA TheManyTheAIAThe ATheEachTheSome TheA TheTheSomeTheAnATheFAIAAnTheAInThe\xa0TheWARNINGAManyAAMoreTheTheAnTheITheLondonTheAItAAITheAWARNINGAAInATheVInTheTheIAFTheAAnAWARNINGTheTheVTheTheWARNINGTheWARNINGTheALATheIAAWARNING']
5,train,0,5,10.922082901000977,Mysterious Respiratory Virus Strikes 44 People in China,"['TheAIAAAATheTheATheAAITheTheTheIAATheManyTheAITheTheManyAThe\xa0A\xa0ManyAAManyAManyTheTheManyTheITheTheSeveralATheManyAInAITheA\xa0AThe\xa0AA""TheA""ATheEachTheAIAThe""TheTheInAAItATheEveryAAInTheThe\xa0TheA TheAManyATheInTheASeveralTheAInAThe ATheAnTheTheSeveralAA AAAnTheASomeTheAAnAAYouAA\xa0TheThe TheThe aTheTheAnATheIManyTheAAustralianAA aAAEveryTheThe""AATAAEachASeveralTheTheItAAEverybodyTheAEach']"
6,train,0,6,9.812154769897461,Buonafide 0.0 imports alcohol-free wine from Italy,"['ATheTheTheTheAATheATheATheATheTheAITheAAAA\xa0AIManyAManyBritishATheITheTheManyTheTheIThe\xa0ATheManyAA\xa0The\xa0TheThe\xa0TheAManyA\xa0TheIAManyAThe""TheAYouTheThe""AThe\xa0""AA""TheTheCAAManyTheAWeTheTheoppersAIAThe TheA""AIManyThe""TheCTheTheTTheThe aTheASomeTheASeveralTheIThe\xa0\xa0AAITTheA aThe aACAThe aTheSomeATheSeveralTheTheInATheackingTheackingATATheInTheACTheManyIA\xa0ManyA\xa0\xa0TheI']"
7,train,0,7,10.559606552124023,California Doubling Down on Decarbonizing as Fossil Fuel Output Declines,"['ATheATheInTheTheTheFTheATheTheATheTheITheTheOneTheInTheWeThe\xa0TheIThe\xa0TheThe\xa0ITheAAATheIATheAInTheTheWeTheTheSomeTheTheItTheTheManyTheTheRussianTheTheAnTheThe TheTheInInTheA\xa0TheAWeTheAOneTheTheFTheThe�TheTheTwoTheThe""TheTheMoreTheTheSeveralTheTheIAITheInATheVTheTheThisTheItAManyATheInAA\xa0ATheOneATheWeATheItTheOneTheA AThe\xa0AIAAManyTheNTheItTheOneTheThisTheTheVATheBThe AA\xa0AA InThe']"
8,train,0,8,9.560182571411133,Bruce Campbell discusses Telus,"['""TheTheATheTheAAAA \xa0ZThe""TheIIThe\xa0The""TheITheCNNThe\xa0The TheTransTheTheATheRussianCNNTheRussianTheNsTransTTheAACNNNAIA\xa0AATheATheTheThe A\xa0 TheThe""ATSomeARussianTheCNNTheThe\xa0TheTheCNNAThe""""AordingTheTheITheTheTransTheTransThe  TheWARNINGTheFScientistsFTheTheGTheZTheordingTheTransA ACNNAA""\xa0 The""TheTheScientistsTheRussiaTheTheWARNINGA']"
9,train,0,9,9.883614540100098,Three Industrial Giants You Should Own In 2020,"['The\xa0\xa0\xa0TheA\xa0AATheTheTheATheAAA\xa0\xa0\xa0AThe\xa0TheTheThe\xa0A\xa0 aTheThe\xa0TheAAA""A""The TheA\xa0The\xa0\xa0\xa0 aThe aCAThe theFranceTheThe aAA\xa0A"".The:The theThe a NHSotineTheThe theThe""\xa0TheIThe,AThe often\xa0 canTheW aFrenchMany canAThe,""""\xa0TheThe canA canFrenchTheThe andTheThe allTheTheITheThe.AThe aTheAITheA theTheThe""AThe theAThe and aThe the theTheA aThe andAThe allA']"
10,train,0,10,9.352343559265137,Hexo refiles financial statements,"['ATheTheTheI\xa0""ATheAoatTheITheATheTheATheTheAAAThe""CNNTheTheTheIA\xa0The""AAITheTheInTheFrenchTheThe""TheAIATheI""TheThe\xa0TheTheCNNATheVTheThe TheAInAThe\xa0ATheInITheA""TheIAA\xa0AIIAAAInTheVAThe TheCNNTheA The TheTheWeIITheCNNIThe""\xa0TheInTheThe drainTheTheManyTheWeTheThe theAITheInIThe\xa0\xa0AIA\xa0\xa0TheII In AThe theTheI\xa0The""ITheInAInAA']"
11,train,0,11,8.984925270080566,US places ban on Cuban defense chief,"['TheTheAThe\xa0ATheA\xa0TheATheAATheAAAATheThe\xa0TheTheTheITheAITheThe theTheTheManyTheTheWeThe\xa0\xa0The theTheA\xa0TheInTheManyIThe.The TheThe TheInTheITheManyTheThe the\xa0We. AInIATheIAI take inThe  aTheFrenchTheSeveralTheTheA the\xa0\xa0TheWeTheThe,The takeAT,TheAnThe inTheIAManysThe.TheThe aTheVTheAmericanTheBritishTheThe takeTheWeTheAManyThe\xa0ManyTheManyA a']"
12,train,0,12,9.046029090881348,"Madonna rings in the New Year, ready for another decade of dreams","['A\xa0ATheATheAATheTheA�I�AA\xa0TheAATheTheTheTheTheA\xa0AA�AIAThe\xa0TheInTAAnAMany The\xa0AITheTTheManyAT aAnAAA\xa0""The\xa0\xa0ManyThe AmericanA\xa0TheTheIAAn takeA�AATA AThe AVA aThe aAThe aA,AAIA TheAITheAAnA aTheA AYouThe�TheThe aTheITheTheTTheA�TheA aAAInAA AAManyAA a']"
13,train,0,13,9.623797416687012,Mexico's Santiago River has become a toxic 'environmental hell ',"['InIn inTheInIn""""InTheInAOnInLikeAInInInTheTheInTheInIn inInIn""InInOnInThe""TheInOnTheTheThe inTheInAInThe inInTheItInInATheOnInTheWeInTheTheTheAIn in"" inTheThe""InTheIInInIInAIn inIInThe.InInAsInThePoliceInInWTheOnThesIn inInWInWInInTInWInITheInDrInAsTheIn inTheItIn inOn""The""AsInIn.InTheTInTheOnTheATheIn.""""InPTheInAsThePIn.InAsThe']"
14,train,0,14,8.83510971069336,"' I did it alone ', Ghosn says of Japan escape","['\xa0 A\xa0\xa0\xa0A\xa0\xa0The\xa0The\xa0IThe\xa0\xa0\xa0.\xa0\xa0British\xa0\xa0 \xa0TheTheThe\xa0TheTheATheThe French\xa0TheI\xa0\xa0 in\xa0The.The\xa0ATheTheA\xa0The�The\xa0 a\xa0\xa0AThe\xa0 \xa0\xa0,�\xa0 TheThe the\xa0 \xa0,\xa0The.\xa0ITheA\xa0ABritishI A\xa0I\xa0AAATheA.A\xa0BritishThe the\xa0TheInThe for\xa0.TheThe.\xa0The,\xa0\xa0�\xa0 frostThe aA \xa0The inThe The:The,� aThe and\xa0�\xa0 the theTheI']"
15,train,0,15,8.945112228393555,"Oil prices soar as US kills top Iranian general, fans war fears","['\xa0The.The\xa0TheAATheThe theTheTheThe\xa0ATheAThe aTheTheA theAVTheAITheTheThe.AThe canTheThe aAThe.TheThe and.A.The inATheIThe\xa0TheThe..TheInTheI\xa0\xa0ATheA\xa0AThe the\xa0AA theAAA\xa0TheA aThe inAA canA a aThe for.A aThe inThe The the,TheA canAThe\xa0 aTheIThe:A in:AABritish can in\xa0\xa0.,TheCA\xa0.The a a..\xa0. aIThe\xa0TheThe ']"
16,train,0,16,9.606213569641113,Lebanon denies president welcomed fugitive Ghosn,"['In"" inThe,InInInIn in"" inIn""""In""InInThe""TheIn""The""InTheInIn""""InOn""In""OnInInAInInOnIn""""On""AInTheThe""InATheIn inTheInOnThe""OnTheInTheTheThe""""TheOn""TheTheInATheInIThe in""TheInThe inInAsIn.""In inThe"".InIn inInInItTheIn,In""ItInInAsInIn onInInWInIn as""InIt inIn"" in inInThe andInIn andInTheItInThe,InInIInInsInIn,The inInItIn"" andIn in in"" in onTheIn andTheTheThe']"
17,train,0,17,9.051643371582031,Fired British vegan files landmark discrimination case,"['\xa0ATheThe\xa0 aTheATheATheTheA inThe a aA\xa0TheTheThe. theThe inV forI""The theA aTheA\xa0A\xa0\xa0\xa0\' toThe:\xa0 a inTheAAAAThe\xa0TheTheThe\xa0A aThe""\xa0 The theThe,\xa0 to andThe a the a forThe.A the.\xa0A\xa0The a inA in a aAIAI\xa0.The\'The\xa0 theA.A in a a\xa0TheIThe for\xa0ATheA A theAA\xa0\xa0 aThe\xa0\xa0The']"
18,train,0,18,8.831435203552246,Ghosn escape sparks calls to toughen Japan's bail system,"["".\xa0The, canA a\xa0..\xa0 theA\xa0:\xa0 in a\xa0TheTheThe\xa0\xa0\xa0A\xa0.TheThe a aTheThe inThe\xa0ATheThe. theThe\xa0 theThe\xa0..\xa0TheTheA\xa0\xa0\xa0A..\xa0\xa0. a.The.A the.The in'.A. aA:\xa0BritainThe a\xa0IThe the theBritish of inTheusTheThe as\xa0British a.\xa0\xa0'I\xa0. the inA:TheA a.British\xa0 a,. a in forThe aA\xa0,\xa0:. theAThe for\xa0 can""]"
19,train,0,19,9.064974784851074,Labor Stocks Are Going To Break Out In 2020,"[""\xa0. the\xa0\xa0\xa0  aA.\xa0 theA\xa0 in andThe for \xa0 in\xa0The in aA a\xa0 \xa0.\xa0 aThe.AA\xa0 a\xa0\xa0 for\xa0The\xa0 to,British inA a., aAAThe aTheThe of-The\xa0ATheAA.. a the.The forTheA a a':.''\xa0 and asusA,\xa0,\xa0'\xa0\xa0A and in.\xa0\xa0A.\xa0.\xa0A a..The. aThe\xa0\xa0The\xa0. the a a. a\xa0""]"
20,val,0,0,7.839608192443848,2020 trends to watch in US beverage,"["". a for in and\xa0 the to of: can ', like with over-A""]"
21,val,0,1,8.930082321166992,Looking into the truth about modern workplace environments,"['. a in for the to takeA of andThe years\xa0,\' "" you on']"
22,train,1,0,8.928659439086914,Lebanese lawyers want Ghosn prosecuted over Israel trip,"["" forA\xa0 a inA.AAThe'' a in, andTheA aTheA''ATheThe the toA a\xa0A can A ofA forA' a a a'\xa0AAA aATheA a aAA\xa0 a a aTheThe'A a. a\xa0The\xa0 aA a\xa0The aA\xa0The' aThe can''AThe a.The a a for aThe a'The aTheA\xa0A.A a ofA\xa0' aA inThe a\xa0 aA for\xa0 a'\xa0A a inAThe' the aA in aA can a for aA''' a'a""]"
23,train,1,1,8.685791015625,"Japan raid, Turkey arrests in widening Ghosn probe","['. a can. \'\' for and \'\'.TheFrance can a can\'\'The..\' can.\'\'The can aThe a\'\' a\' and a.\'"" the\' for\' canA in of a\'A. aA\' for a.""\' a\' a a aThe a can can\'A\' can\'canThe\' for\'The:\'\'\'.\'The\' can\'\'A can\' a.\'\' for...\' a can\' \'The for\'.. can can for the\'. for.:\' to a:\' the can\'. can\'AThe"" can can a\'. \'.']"
24,train,1,2,8.220659255981445,"On the road to AI adoption, execs grapple with expertise and data","[""AAAATheThe aTheTheATheTheATheAA''AThe aTheThe a theAA a a in theA aThe a a the aAThe the the a aA in a a a to a the the the in the a the in a in a the and the a in in a in the the the for the the a and a a  a a the a a a of the the, the of a the as in a to the and a in a as a in for and the to a in and theThe a, a the in the the and in and in a   a for a. the and a and aThe in for. the of the as andThe a. a""]"
25,train,1,3,8.596306800842285,Alcohol-free craft beer from Partake looks to fill whitespace of US market,"['\xa0 in toW,""s on. on ins in""In"" inA in in. in:""""W...']"
26,train,1,4,8.292644500732422,Medicinal cannabis substitute can treat Parkinson's disease,"['s in"" on..""""A on on on"""" ons in""In""France\xa0.TheSs""s ins"" in""s""""""S ons ons in and in in on ins tos onS ins in in"" inIn insss on in in like on in on""sS inIn ons"". on onss. in in in. in on on"" onInsThe in ins and""sTheThe in likeThe onsIn on.S"" on"""" onsSs in""S in""N ins.The insThe andW on likess inTheW"" inThe in onWs.""."" in on. inInSIns in"" in.Ins to onW on in']"
27,train,1,5,8.926749229431152,Mysterious Respiratory Virus Strikes 44 People in China,"[' for. to\'\' the for\'The.The a:A"".\'\'A a. in\' a a:The\' forTheThe"":']"
28,train,1,6,8.205349922180176,Buonafide 0.0 imports alcohol-free wine from Italy,"['\'for\' can\' can\'can a. can can\'The.\'\'\'.A\'\'A\' and\'\'.\' for\'The\' the a\' a\' can\'\' a can\' \'\'\'\' the\'. a\' for.. a can can a for\' a a for for canThe\'\'can\' to a a\' in. can\'""\'\' for a\'\' to. can \'\' for can\' can can: can.\' can\'aTheA.\' the\' a.TheA\'A aThe. a.\' aThe a\'.\'A a\' to\'\'The \'\' for inThe\'\' can. for for to for\'\'\'a and a\' the\'\':\'The can\' forThe\' a']"
29,train,1,7,9.167838096618652,California Doubling Down on Decarbonizing as Fossil Fuel Output Declines,"[' in\xa0.. like, to inFrance in on on\xa0ssIn ins on""..s in. onss inThe China']"
30,train,1,8,8.262274742126465,Bruce Campbell discusses Telus,"['The""A\'."""" inTheThe""""TheAThe""The""A""\'A\'""""A""The\'\'The\'\'TheThe']"
31,train,1,9,8.531534194946289,Three Industrial Giants You Should Own In 2020,"["".'' in: to forThe.. a.. in.. a in in'. to for. in': to.A a""]"
32,train,1,10,8.088807106018066,Hexo refiles financial statements,"['\'ATheTheITheThe inI a in\'The\'.I\'\'\'The\'\'IITheATheThe to\'TheI in""']"
33,train,1,11,8.121625900268555,US places ban on Cuban defense chief,"[' in\' for aA\'\'The"" inThe the.I\' in"" in inIn in\'\'\'.The\'\' in in\' the\'The\'The in.\'TheThe.\'\':\'.\'.']"
34,train,1,12,7.886016845703125,"Madonna rings in the New Year, ready for another decade of dreams","["" in in'.' a to''a'The forTheA of'' to the..A''' a.""]"
35,train,1,13,7.972909450531006,Mexico's Santiago River has become a toxic 'environmental hell ',"["".The in' for'... on a to inThe in.TheTheThe in inThe inThe in..' in in inI""]"
36,train,1,14,6.967885971069336,"' I did it alone ', Ghosn says of Japan escape","["" '' to in'''' ''...' ''The' in for.' ''AThe' to'' in''.'' for'' to ''""]"
37,train,1,15,8.585801124572754,"Oil prices soar as US kills top Iranian general, fans war fears","["" in.': in. for.. '.The to. of'. in..The'.' in for,The.\xa0 '.""]"
38,train,1,16,8.959729194641113,Lebanon denies president welcomed fugitive Ghosn,"["" to. in' to.. ''.'A to in in' in. to.. inTheA''' aThe. a""]"
39,train,1,17,8.385927200317383,Fired British vegan files landmark discrimination case,"[""'.'for a' a.''A''' in''The a '''.A' ''..The'' for'' a.'.''a a''''""]"
40,train,1,18,8.056710243225098,Ghosn escape sparks calls to toughen Japan's bail system,"["". '' in ''..'. a 'AA''. in a in' in'in'.. in.The'':.""]"
41,train,1,19,8.654603004455566,Labor Stocks Are Going To Break Out In 2020,"["" to. inA in. to''..'' in to inThe'.The a.' inA inThe... in'...The and.'.:'A in' in.""]"
42,val,1,0,7.120345115661621,2020 trends to watch in US beverage,"["". to in for''a and of the:- with on years,'s as""]"
43,val,1,1,8.621221542358398,Looking into the truth about modern workplace environments,"["" in a. for' to the of and'years on's-,AThe:""]"
